Регион;Удельный вес организаций, использовавших персональные компьютеры;Удельный вес организаций, использовавших Интернет ;Объем оказанных населению услуг связи ;Число абонентских устройств подвижной радиотелефонной (сотовой) связи ;Удельный вес занятых в секторе ИКТ ;Внутренние затраты на научные исследования и разработки;Разработанные передовые производственные технологии;Используемые передовые производственные технологии;Исследование и разработка новых продуктов, услуг и методов их производства (передачи), новых производственных процессов;Разработка и приобретение программ для ЭВМ и баз данных, связанных с инновационной деятельностью;Инвестиции в основной капитал;Оборот розничной торговли ;Среднемесячная номинальная ЗП;Доля продукции высокотехнологичных и наукоемких отраслей в валовом региональном продукте;Индекс производительности труда
Республика Карелия;95.9;93.5;5426.4;1769;43831;964.9;11;614;336.9;260.2;34700;170771;33061;43998;100.1
Республика Коми;94.7;90.9;6251.3;1880.4;43891;2390.5;;779;105.6;914.8;200261;170979;43662;12;100.6
Архангельская область;92.6;89.2;5327.2;1975.8;43891;1576.7;14;1416;157.2;781.9;169432.1;203019;40790;43999;103.6
в том числе Ненецкий авт.округ;97;94.9;1930.4;;44013;41.2;;36;0.1;716.3;85702.6;204097;71850;43924;108.8
Архангельская область без авт. округа;92.1;88.7;5459.6;;43891;1535.5;;1380;157.1;65.6;83729.5;202977;38118;43856;100.1
Вологодская область;96.8;92.8;4687.3;1772.3;43983;411.9;9;2624;215.5;219;114155.4;136224;29303;44028;99.2
Калининградская область;96.6;95.2;5534.5;1964.7;43984;1293.5;;854;85.7;2784.6;89462.3;153165;29451;23;102.2
Ленинградская область;97.5;96.1;;;43891;6335.3;12;1695;1486.7;3774.4;264212.8;191917;36319;43876;104.5
Мурманская область;95.7;89.1;7475.6;2057.3;43891;2404.6;;1236;511.4;285.9;85494.6;203655;48986;44090;101.6
Новгородская область;100;98.9;4818.9;1874.7;44013;1694.7;33;2092;1415.7;538.2;78742.1;176740;27914;43918;102.6
Псковская область;92.5;91.6;4546.4;1819.5;43952;430.5;;1317;88.2;46.9;27271.8;154488;22399;43940;100.9
г.СанктПетербург;96.5;95.9;8194.9;2790.2;43863;114470.8;153;9026;60351.1;19262.4;678642.2;234947;48703;44072;102
Республика Адыгея;96.3;92.5;1409.8;1114.1;0.8;225.2;;230;0.4;127.2;19133.7;177115;23109;43997;103.4
Республика Калмыкия;89;83.4;3382.7;1486.4;43984;71.6;31;85;0.2;32.7;9138.9;67572;21318;43843;97.8
Республика Крым;99.3;98.2;378.3;146.2;1;1410.9;;102;369;226.9;74795.3;115133;24140;43974;107.2
Краснодарский край;89.8;86.4;6979.3;2421.2;43891;5866.1;16;5163;1607.5;4559.1;435095.3;225159;28734;43904;99.9
Астраханская область;94.8;91.6;4640.1;1692.9;1;458.5;4;587;349.9;1642.4;117999.3;164241;27493;44055;103.7
Волгоградская область;86;81.5;4678.4;1686.2;43862;3447.8;;2511;943.6;2813;183642.1;136055;26554;44092;100.9
Ростовская область;87;83.8;5130.1;1897.6;43891;13663.8;25;3314;9169;3555.9;294480.7;201548;26689;44094;102
г. Севастополь;62.6;61.5;870.4;44002;43892;653.1;;316;0.1;32.8;18547;145575;24259;43914;107.4
Республика Дагестан;91.8;86.4;1836.4;1125.6;0.6;929.7;6;578;51.3;;199555.7;196329;20629;43842;99.6
Республика Ингушетия;100;100;2866;1204.4;0.6;68.8;;16;;;20631.8;45965;22488;43852;94.5
КабардиноБалкарская Республика;93.9;88.2;2662.8;1297.8;43891;502.2;;270;44045;43842;36235.4;136994;21532;44092;102
КарачаевоЧеркесская Республика;86.9;84;4902.4;1302.9;0.4;492.2;;93;;;20554.8;76432;21546;43879;103
Республика Северная Осетия  Алания;86.7;85.3;6041.2;1462.3;0.6;371.1;;151;43988;;25533.1;149749;22806;44092;98.5
Чеченская Республика;99.3;86;4162.6;1269.7;0.2;218.3;;317;31.9;1;60542.7;108534;22926;43883;103.2
Ставропольский край;98.4;96.7;4525.4;1591.4;43831;1815.1;3;1285;314.8;5701.8;122948.8;158762;24655;44066;97
Республика Башкортостан;96.6;91.3;3951;1737.9;1;8854.4;10;9324;3487.9;18948.9;355109.3;197400;28108;44005;101.1
Республика Марий Эл;88.4;85.4;4240.8;1846.6;44075;167.7;;1001;243.1;776.5;27265.5;114549;23305;24;96.8
Республика Мордовия;81.5;78;4238.1;1590.6;43832;798.8;7;2839;1273.4;3441.8;52629.2;101590;23229;43943;104
Республика Татарстан;97.2;95.5;5253.2;1850.8;43922;12569.2;64;7355;19938.8;19849.7;636494.1;206769;30224;44062;100.8
Удмуртская Республика;89.9;87.2;4161.9;1763.4;44045;1102.9;18;5631;786.5;2508.5;87128.7;139151;26693;43887;101.4
Чувашская Республика;94.1;92.6;4014;1787.4;43831;1528.7;5;2982;1582;1254.6;50139.9;110954;22908;31.2;104.3
Пермский край;94.5;91.5;4514.7;1831.1;44013;14005.6;33;4815;11547.2;17096.2;239389.9;183397;30651;44011;95.7
Кировская область;92.7;87.4;4764.7;1743.9;43862;1452.7;;2429;980.5;1195.2;57001.1;136870;23404;44101;100.5
Нижегородская область;97.1;95.7;5599.3;2017.5;44013;77751.7;61;10722;29528.4;16525.4;232010.4;200605;28399;43921;103.9
Оренбургская область;97.3;94.8;4506;1871.9;0.8;700.8;;1090;1761.2;5351.2;167278.5;138012;26209;44054;98.6
Пензенская область;97;90.5;4602.2;1636.5;43891;3793.6;2;1613;2221.9;1210.9;64945.5;140042;25337;43973;96.1
Самарская область;82.4;77.8;5614.1;2034.6;43983;11842.3;33;7568;10725.8;13788.4;256776;187020;28295;44097;98.8
Саратовская область;81.8;77.3;4845.9;1798.3;2;4387.7;12;7529;2111;4703.4;141337.3;128604;23548;44035;102.3
Ульяновская область;93.2;89.3;4509.5;1936.6;43923;8778.9;30;2220;1873.4;1147.2;70575.6;134607;24334;34;101.4
Курганская область;86.4;79.8;3931.7;1502.2;43922;330.5;;1727;282.1;702.2;29253.8;121596;23335;43945;104.5
Свердловская область;96.4;92.2;5430.8;1867.9;43832;29624;99;10379;10889.9;36090.5;328402.5;243477;32348;44067;102.1
Тюменская область;93.5;89.9;7757.6;2199.7;43891;14117;34;7680;28073.2;36766.5;2132093.8;226307;60090;44050;100.7
ХантыМансийский авт.округ  Югра;97;92.9;7918.9;2178.1;43831;2800.4;;1969;25239.7;34869.3;799253.3;224137;63568;43927;97.7
ЯмалоНенецкий авт.округ;94.6;90.6;9808;2609.5;43862;136.2;22;3627;495.4;585;1093081.8;229235;83238;44046;105.3
Тюменская область без авт. округов;89.1;86.2;6829.4;2075.1;43983;11180.4;12;2084;2338.1;1312.2;239758.7;227659;37536;43971;101.1
Челябинская область;91.7;88.3;4666.7;2079.7;44075;19583.7;121;7000;9953.8;13820;198289.2;140989;30941;44002;99.6
Республика Алтай;97;95.2;2728;1487.9;0.8;91.6;;118;;44016;12561.3;105669;25083;43909;104.5
Республика Тыва;93.5;87.4;985.2;1279.4;43862;258.1;;36;;43956;10640.1;67775;29969;44069;99.2
Республика Хакасия;92.8;87.7;6020;1800;43862;84.6;;400;;23;27237;138946;29828;43877;103.2
Алтайский край;92.2;87.6;4431.7;1604.5;43831;1731.3;;2173;713.4;1920.7;75284.8;137844;32515;43909;102
Красноярский край;95.2;89.7;5589.9;1658.3;43983;16939.8;35;3751;21910.4;11642.2;425931.6;174885;21202;43935;103.3
Иркутская область;91.4;85.3;4993.1;3022.6;43922;4042.9;10;2362;265.7;4520.8;247954.2;126558;32654;17;104.7
Кемеровская область;89.7;86;4403.9;1772.6;1;1583.6;7;3450;80.2;2323.8;165665.6;124997;38474;43997;98
Новосибирская область;81.8;78.3;6178.1;1772.9;43984;20230.4;30;3064;3242.4;2420;163058.5;162400;35510;44034;100.8
Омская область;87.3;83.6;3543.5;1874.3;43922;5927.4;7;3145;5249.7;3258.6;93453.3;147735;30115;19;100.4
Томская область;87.1;85.1;4758.6;1788.5;43862;11787.9;14;1598;6920.2;2330.5;104385.4;131138;30151;21;100.8
Республика Бурятия;87.4;82.7;4382.8;1470.7;43891;931.1;4;380;140.2;478.7;33445.2;170767;36032;43977;94.8
Республика Саха (Якутия);95.1;85.2;8027.1;1543.5;1;2605.9;;798;275.2;2189.8;275576;211758;45786;44023;103.2
Забайкальский край;97;92.1;4909.1;1452.1;0.8;349.8;;1315;;187.7;85702.4;142227;59000;43966;101.8
Камчатский край;99.4;96.1;11354.2;1974.9;43831;1156.7;3;291;;277.4;37298.2;164978;61159;44000;105.1
Приморский край;87.4;84.2;7019.5;1737.3;44075;6476.2;6;1209;215.4;585.2;130499.7;183787;35677;44028;94.3
Хабаровский край;98.4;97.3;7734.4;1771.4;43891;2488.5;10;2552;2786.9;5190.5;120091.1;218227;40109;44091;98.5
Амурская область;95.2;87.5;6148.7;1671.5;43862;475.9;;658;613.8;348.9;129816.1;191523;33837;44086;96.4
Магаданская область;96.3;90.1;10869.6;1958.7;43922;656.4;;610;248.3;37.8;41798.2;202541;69769;43995;100.5
Сахалинская область;92.2;90.1;9484.8;1958.2;43983;1182.5;7;753;41.6;38426.7;240010.8;276476;64959;43841;102.2
Еврейская авт.область;92.7;85.3;3344.3;1486.5;1;;;92;0.6;43934;12929.4;134162;32165;43846;99
Чукотский авт.округ;97.9;94.8;10310.8;1701.5;1;;;410;43924;45.1;12756.6;154019;86647;43934;98.5
