Регион;Удельный вес организаций, использовавших персональные компьютеры;Удельный вес организаций, использовавших Интернет ;Объем оказанных населению услуг связи ;Число абонентских устройств подвижной радиотелефонной (сотовой) связи ;Удельный вес занятых в секторе ИКТ ;Внутренние затраты на научные исследования и разработки;Разработанные передовые производственные технологии;Используемые передовые производственные технологии;Исследование и разработка новых продуктов, услуг и методов их производства (передачи), новых производственных процессов;Разработка и приобретение программ для ЭВМ и баз данных, связанных с инновационной деятельностью;Инвестиции в основной капитал;Оборот розничной торговли ;Среднемесячная номинальная ЗП;Доля продукции высокотехнологичных и наукоемких отраслей в валовом региональном продукте;Индекс производительности труда
Республика Бурятия;93.6;85.2;4305.4;1528.5;43831;887.4;1;262;7238.2;903432.5;41986.1;134060;29813.5;44009;101
Республика Саха (Якутия);94.5;79.9;7990.5;1576.7;43862;2315.9;2;867;170045.8;2066770.4;193947.1;149556;37578.8;44026;101.1
Забайкальский край;97.5;89.7;4879.3;1429.1;0.6;321.8;3;1117;4595;354013.3;57461;116140;46542;44003;98.5
Камчатский край;98.2;94.4;10936;2089.9;43891;1265.1;3;158;91645.4;36048.1;32708.2;132314;48628.8;44094;100.4
Приморский край;91.1;86.5;7081.8;1862.5;43983;4932.5;;1311;714457.4;6841999.3;123061.2;128066;29965.7;43970;99
Хабаровский край;98.1;94.5;7749.4;1911.6;44013;1413.4;6;2656;268364.9;3364601.2;150077.5;156908;34132.3;44091;101.2
Амурская область;87.2;75.9;6473.9;1773.2;44013;494.1;;540;2912499.7;292611.4;102003.5;145301;30541.7;44058;92.1
Магаданская область;96.6;89.8;11090.3;2316.7;43862;900.1;6;607;44002.7;241158.4;37879;153398;57121.1;43848;104.5
Сахалинская область;93.6;91;10298.1;1990.2;1;1010.7;;517;23782;20564548.8;175632.4;228920;49006.9;44019;101.1
Еврейская авт.область;91.4;82.6;3446.4;1608.3;0.7;;;145;5244.1;145864;14326.8;108408;27357.7;44090;84.3
Чукотский авт.округ;99.2;89.4;10361.6;1604.5;0.9;;;;;62143.7;12804.2;108218;68261.3;43848;103.3
